variant,total_return,cagr,mdd,ann_vol,sharpe,sortino,exposure,avg_cash,trades,final_value,excess_vs_lumpsum
v2-full,29.5096,0.256,0.5244,0.3295,0.8595,1.1064,1.0,0.114,514,305096.23,-0.6212364061636858
no-core,8.0746,0.1584,0.4513,0.2664,0.6877,0.7614,0.8197,0.2751,517,90745.86,-0.887342993194747
core-50,43.7978,0.2886,0.5786,0.3632,0.8827,1.1396,1.0,0.0656,513,447977.85,-0.44385513899970086
no-overheat,28.9912,0.2546,0.5295,0.3393,0.841,1.0751,1.0,0.0967,509,299911.76,-0.6276726983765937
no-dd-exit,42.2826,0.2856,0.4717,0.3582,0.8841,1.0996,1.0,0.1055,504,432825.51,-0.46266610481671455
instant-sell,28.1393,0.2522,0.5402,0.3388,0.836,1.0707,1.0,0.1013,407,291392.8,-0.6382486137372909
slow-reentry,27.0419,0.249,0.5332,0.3308,0.8402,1.0753,1.0,0.1236,826,280419.43,-0.6518715715093211
lump-cashout,6.1085,0.1397,0.4854,0.2644,0.6293,0.6812,0.7747,0.2836,409,71084.64,-0.9117515358581763
lumpsum,79.5506,0.34,0.6368,0.4167,0.9137,1.174,1.0,0.0,1,805505.69,0.0
dca100,17.4502,0.2146,0.6156,0.3326,0.7529,0.8829,1.0,0.3321,100,184501.88,-0.7709490047177693
v1-full,2.0452,0.0771,0.1443,0.0837,0.9313,1.1647,0.992,0.7954,222,30452.35,-0.9621947425349658
